                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.82076,                 1.0732,                 1.0494,                0.89311,                 0.7209,                0.82455,                 0.6577,                0.84746,                 0.7868,                 1.1166,              9.655e-05,              9.655e-05,              9.655e-05
                     64,                0.81184,                  1.053,                 1.0569,                0.90438,                0.76269,                0.84478,                0.67313,                0.84153,                0.75899,                 1.0957,             9.4075e-05,             9.4075e-05,             9.4075e-05
                     65,                0.83684,                  1.102,                 1.0727,                0.90873,                0.76146,                0.84494,                0.66931,                0.85247,                0.73313,                 1.0939,               9.16e-05,               9.16e-05,               9.16e-05
                     66,                0.81236,                 1.0347,                 1.0436,                0.91798,                0.75315,                0.84234,                0.66995,                0.85258,                0.73573,                 1.1093,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     67,                0.78386,                0.99266,                 1.0435,                0.90892,                 0.7623,                 0.8427,                0.66682,                0.84468,                0.75944,                 1.0977,              8.665e-05,              8.665e-05,              8.665e-05
                     68,                0.80765,                 1.0361,                 1.0425,                0.92495,                0.75989,                0.84766,                0.67181,                0.85649,                 0.7328,                  1.123,             8.4175e-05,             8.4175e-05,             8.4175e-05
                     69,                0.82512,                 1.0432,                  1.047,                0.90917,                0.76922,                0.84759,                0.66816,                0.85837,                0.74484,                 1.0928,               8.17e-05,               8.17e-05,               8.17e-05
                     70,                 0.8011,                 1.0096,                   1.03,                 0.9309,                0.76538,                0.84655,                0.67149,                0.84938,                0.71674,                 1.0858,             7.9225e-05,             7.9225e-05,             7.9225e-05
                     71,                0.78211,                 1.0139,                  1.036,                0.92751,                0.76803,                0.84757,                0.67294,                0.84589,                0.73378,                   1.09,              7.675e-05,              7.675e-05,              7.675e-05
                     72,                0.79217,                 1.0214,                 1.0412,                0.91305,                0.76334,                0.84209,                0.67073,                0.85874,                0.73389,                 1.1098,             7.4275e-05,             7.4275e-05,             7.4275e-05
                     73,                0.77459,                0.98313,                 1.0355,                0.93159,                0.77022,                0.85055,                0.68066,                0.82132,                0.70967,                 1.0856,               7.18e-05,               7.18e-05,               7.18e-05
                     74,                 0.7935,                 1.0286,                 1.0402,                0.92269,                0.76899,                0.84889,                0.67882,                0.83279,                0.71035,                 1.0969,             6.9325e-05,             6.9325e-05,             6.9325e-05
                     75,                0.80072,                 1.0088,                 1.0413,                0.93488,                0.75494,                0.84757,                0.66895,                0.86499,                 0.7155,                 1.1124,              6.685e-05,              6.685e-05,              6.685e-05
                     76,                0.78693,                0.99009,                 1.0347,                0.89589,                0.76641,                0.84484,                0.67413,                0.85079,                0.72595,                 1.1088,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     77,                0.78877,                0.98547,                 1.0352,                 0.9153,                0.77061,                0.85239,                0.67661,                0.85597,                0.70551,                 1.1082,               6.19e-05,               6.19e-05,               6.19e-05
                     78,                 0.7947,                 1.0149,                 1.0416,                0.92927,                0.76896,                0.85511,                0.68183,                0.83812,                0.68577,                 1.1053,             5.9425e-05,             5.9425e-05,             5.9425e-05
                     79,                0.78519,                0.99395,                 1.0507,                0.92504,                0.76872,                0.84872,                0.67997,                0.83446,                0.69883,                 1.0934,              5.695e-05,              5.695e-05,              5.695e-05
                     80,                0.76672,                0.97324,                 1.0335,                 0.9045,                 0.7855,                0.85186,                 0.6697,                0.86131,                0.69007,                 1.1078,             5.4475e-05,             5.4475e-05,             5.4475e-05
                     81,                 0.7659,                0.94728,                 1.0202,                 0.9104,                0.78073,                0.85327,                0.67829,                0.83089,                0.68179,                 1.0886,                5.2e-05,                5.2e-05,                5.2e-05
                     82,                0.77892,                0.98858,                 1.0324,                0.94453,                0.76279,                0.85443,                0.68092,                0.82868,                0.68593,                 1.0875,             4.9525e-05,             4.9525e-05,             4.9525e-05
                     83,                0.76816,                0.98172,                 1.0228,                0.92844,                0.76377,                0.85491,                0.68075,                0.83682,                0.68821,                 1.0971,              4.705e-05,              4.705e-05,              4.705e-05
                     84,                 0.7676,                0.93975,                 1.0171,                0.94336,                0.76552,                0.85694,                0.68378,                0.82806,                0.68289,                 1.0914,             4.4575e-05,             4.4575e-05,             4.4575e-05
                     85,                0.78427,                0.95986,                 1.0205,                0.91376,                0.78006,                0.85691,                0.68284,                0.83838,                0.69076,                 1.1061,               4.21e-05,               4.21e-05,               4.21e-05
                     86,                0.78001,                0.97663,                 1.0309,                0.91327,                0.77065,                0.85323,                0.67941,                0.84007,                0.69048,                 1.0992,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     87,                0.74748,                0.91988,                 1.0191,                0.92034,                0.77863,                0.86069,                 0.6877,                0.82898,                0.68259,                  1.087,              3.715e-05,              3.715e-05,              3.715e-05
                     88,                0.75988,                0.94738,                 1.0203,                0.94652,                0.76784,                0.86068,                0.68533,                0.84122,                0.67537,                 1.0911,             3.4675e-05,             3.4675e-05,             3.4675e-05
                     89,                0.77014,                0.95937,                 1.0135,                0.94592,                0.76705,                 0.8603,                  0.686,                0.82887,                0.67359,                 1.0945,               3.22e-05,               3.22e-05,               3.22e-05
                     90,                0.78206,                0.96046,                 1.0296,                0.93482,                0.77344,                0.85939,                0.68481,                0.83989,                0.68617,                 1.0861,             2.9725e-05,             2.9725e-05,             2.9725e-05
                     91,                0.75728,                0.86097,                 1.0569,                0.94421,                0.76294,                0.85473,                0.65106,                  0.971,                0.79792,                 1.2075,              2.725e-05,              2.725e-05,              2.725e-05
                     92,                0.69865,                0.78175,                 1.0203,                0.92598,                0.76361,                0.84733,                0.67437,                0.84966,                  0.741,                 1.1041,             2.4775e-05,             2.4775e-05,             2.4775e-05
                     93,                 0.6856,                0.74067,                 1.0114,                0.91992,                0.77273,                0.85373,                0.68078,                0.84242,                 0.7255,                 1.0912,               2.23e-05,               2.23e-05,               2.23e-05
                     94,                0.70278,                0.75351,                 1.0113,                0.91866,                0.77323,                0.85231,                0.68193,                 0.8319,                 0.7034,                 1.0816,             1.9825e-05,             1.9825e-05,             1.9825e-05
                     95,                0.68217,                0.73755,                  1.002,                0.93249,                0.77336,                0.85363,                0.68508,                0.83498,                0.69361,                 1.0777,              1.735e-05,              1.735e-05,              1.735e-05
                     96,                0.67019,                0.71355,                 1.0013,                 0.9371,                0.77267,                  0.857,                 0.6888,                 0.8263,                0.67071,                 1.0754,             1.4875e-05,             1.4875e-05,             1.4875e-05
                     97,                 0.6885,                0.72823,                 1.0032,                0.92824,                0.77831,                0.85824,                0.69012,                0.82159,                0.66364,                 1.0785,               1.24e-05,               1.24e-05,               1.24e-05
                     98,                0.67327,                0.70726,                0.98975,                0.92968,                0.78037,                0.86056,                0.68879,                0.82898,                 0.6684,                 1.0829,              9.925e-06,              9.925e-06,              9.925e-06
                     99,                0.67922,                0.72464,                0.99869,                0.93262,                0.77915,                0.86041,                0.69131,                0.81875,                0.66209,                 1.0777,               7.45e-06,               7.45e-06,               7.45e-06
                    100,                  0.672,                0.71445,                0.99846,                0.94416,                0.77362,                0.86054,                0.69214,                0.81916,                0.65963,                 1.0771,              4.975e-06,              4.975e-06,              4.975e-06
